Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778448918,20,GET,GET /api/v1/questionnaires/active,3.600000,0.000000,13,15,17,17,22,25,30,30,30,30,30,91,0,17,21.78199916482669,7.076855999912368,130.7612960008555,0.0
1778448918,20,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448918,20,POST,POST /api/v1/surveys,3.500000,0.000000,26,30,33,34,39,46,62,62,62,62,62,74,0,30,90.3737265542421,13.811923996399855,2654.601320002257,254.6216216216216
1778448918,20,,Aggregated,9.900000,0.000000,18,23,27,29,33,39,46,51,62,62,62,238,0,25,145.57455157581202,7.076855999912368,2654.601320002257,126.1218487394958
1778448919,20,GET,GET /api/v1/analytics/health-board,1.800000,0.000000,19,29,31,31,35,39,39,39,39,39,39,34,0,19,66.6728679998949,8.061178999923868,1436.493793000409,75.0
1778448919,20,GET,GET /api/v1/analytics/summary,0.700000,0.000000,20,25,27,28,51,51,51,51,51,51,51,21,0,25,97.30315633385631,9.857389002718264,1410.9123710004496,75.0
1778448919,20,GET,GET /api/v1/questionnaires/active,3.900000,0.000000,13,15,16,17,22,25,30,30,30,30,30,96,0,16,21.241701093723957,7.076855999912368,130.7612960008555,0.0
1778448919,20,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448919,20,POST,POST /api/v1/surveys,3.400000,0.000000,28,30,33,33,37,46,62,62,62,62,62,77,0,30,87.70935423393445,13.811923996399855,2654.601320002257,254.6103896103896
1778448919,20,,Aggregated,9.800000,0.000000,17,23,28,29,33,39,51,62,62,62,62,248,0,25,140.34928414532496,7.076855999912368,2654.601320002257,124.71774193548387
1778448920,20,GET,GET /api/v1/analytics/health-board,1.700000,0.000000,21,31,31,35,38,39,39,39,39,39,39,36,0,19,64.42605891657473,8.061178999923868,1436.493793000409,75.0
1778448920,20,GET,GET /api/v1/analytics/summary,0.800000,0.000000,25,27,28,30,51,51,51,51,51,51,51,23,0,25,91.08365082647651,9.857389002718264,1410.9123710004496,75.0
